"States","t","totalPopulation","totalLaborForce","perCapitaGDP"
"District of Columbia",2004,567754,312027,161284
"Florida",2004,17415318,8440428,41618
"Georgia",2004,8769252,4451800,45434
"Idaho",2004,1391802,703062,35331
"Illinois",2004,12589773,6325447,50674
"Indiana",2004,6233007,3167797,43489
"Iowa",2004,2953635,1601788,44849
"Kansas",2004,2734373,1463707,41551
"Kentucky",2004,4146101,1963875,37567
"Louisiana",2004,4552238,2037176,44961
"Maine",2004,1313688,686000,38885
"Maryland",2004,5546935,2889324,50700
"Massachusetts",2004,6412281,3395511,57594
"Michigan",2004,10055315,5062376,42525
"Minnesota",2004,5087713,2880428,51433
"Mississippi",2004,2889010,1313102,30669
"Missouri",2004,5747741,3015650,42708
"Montana",2004,930009,480281,34832
"Nebraska",2004,1749370,969981,45937
"Nevada",2004,2346222,1177634,51478
"New Hampshire",2004,1290121,716186,46472
"New Jersey",2004,8634561,4349171,56092
"New Mexico",2004,1903808,902265,41360
"New York",2004,19171567,9355953,55866
"North Carolina",2004,8553152,4253126,43894
"North Dakota",2004,644705,352466,40368
"Ohio",2004,11452251,5870479,44413
"Oklahoma",2004,3525233,1689608,36689
"Oregon",2004,3569463,1838112,42244
"Pennsylvania",2004,12410722,6213778,44536
"Rhode Island",2004,1074579,558688,46084
"South Carolina",2004,4210921,2033310,37262
"South Dakota",2004,770396,427664,42738
"Tennessee",2004,5910809,2878736,42223
"Texas",2004,22394023,10992359,46396
"Utah",2004,2401580,1231160,40506
"Vermont",2004,619920,347673,40954
"Virginia",2004,7475575,3795246,50258
"Washington",2004,6178645,3197095,49648
"West Virginia",2004,1816438,783658,32782
"Wisconsin",2004,5514026,3034581,44615
"Wyoming",2004,509106,274794,56370
"Alabama",2005,4569805,2146025,37887
"Arizona",2005,5839077,2883226,42957
"Arkansas",2005,2781097,1345913,35610
"California",2005,35827943,17530064,53092
"Colorado",2005,4631888,2563900,51847
"Connecticut",2005,3506956,1796976,65444
"Delaware",2005,845150,432409,66955
"District of Columbia",2005,567136,315616,163971
"Florida",2005,17842038,8720970,43329
"Georgia",2005,8925922,4586420,46361
"Idaho",2005,1428241,731670,36510
"Illinois",2005,12609903,6397808,51447
"Indiana",2005,6278616,3205436,43159
"Iowa",2005,2964454,1629764,45781
"Kansas",2005,2745299,1465640,42502
"Kentucky",2005,4182742,1999777,38300
"Louisiana",2005,4576628,2069403,47133
"Maine",2005,1318787,697153,38796
"Maryland",2005,5592379,2924546,52165
"Massachusetts",2005,6403290,3384116,58588
"Michigan",2005,10051137,5083130,43081
"Minnesota",2005,5119598,2879760,52445
"Mississippi",2005,2905943,1317392,31043
"Missouri",2005,5790300,3009334,43033
"Montana",2005,940102,486054,35874
"Nebraska",2005,1761497,972992,46666
"Nevada",2005,2432143,1223831,53836
"New Hampshire",2005,1298492,725849,47410
"New Jersey",2005,8651974,4391579,56974
"New Mexico",2005,1932274,918156,40948
"New York",2005,19132610,9460866,58421
"North Carolina",2005,8705407,4317428,45122
"North Dakota",2005,646089,355545,41453
"Ohio",2005,11463320,5890046,44772
"Oklahoma",2005,3548597,1703293,37610
"Oregon",2005,3613202,1845761,42562
"Pennsylvania",2005,12449990,6251402,45001
"Rhode Island",2005,1067916,565735,46744
"South Carolina",2005,4270150,2068599,37712
"South Dakota",2005,775493,430606,42960
"Tennessee",2005,5991057,2904794,42087
"Texas",2005,22778123,11124240,46451
"Utah",2005,2457719,1272445,41880
"Vermont",2005,621215,350766,41504
"Virginia",2005,7577105,3897042,52227
"Washington",2005,6257305,3263703,52021
"West Virginia",2005,1820492,790982,33551
"Wisconsin",2005,5546166,3021086,45266
"Wyoming",2005,514157,276527,58273
"Alabama",2006,4628981,2167809,37911
"Arizona",2006,6029141,2990441,44018
"Arkansas",2006,2821761,1365410,36161
"California",2006,36021202,17654109,54508
"Colorado",2006,4720423,2622243,51736
"Connecticut",2006,3517460,1828651,67400
"Delaware",2006,859268,441184,67533
"District of Columbia",2006,570681,316083,166367
"Florida",2006,18166990,9000204,44034
"Georgia",2006,9155813,4710775,45926
"Idaho",2006,1468669,747377,37409
"Illinois",2006,12643955,6526273,52683
"Indiana",2006,6332669,3235110,43639
"Iowa",2006,2982644,1657584,46029
"Kansas",2006,2762931,1467095,43723
"Kentucky",2006,4219239,2029231,38939
"Louisiana",2006,4302665,1988513,49221
"Maine",2006,1323619,701541,39197
"Maryland",2006,5627367,2963866,52823
"Massachusetts",2006,6410084,3413339,59459
"Michigan",2006,10036081,5076656,42429
"Minnesota",2006,5163555,2887832,51854
"Mississippi",2006,2904978,1290171,31888
"Missouri",2006,5842704,3029689,43032
"Montana",2006,952692,493614,36451
"Nebraska",2006,1772693,970052,47666
"Nevada",2006,2522658,1285318,53527
"New Hampshire",2006,1308389,731854,47701
"New Jersey",2006,8661679,4445879,57835
"New Mexico",2006,1962137,928094,40917
"New York",2006,19104631,9508149,60149
"North Carolina",2006,8917270,4444967,46349
"North Dakota",2006,649422,361459,42913
"Ohio",2006,11481213,5945482,44738
"Oklahoma",2006,3594090,1715794,39155
"Oregon",2006,3670883,1885385,45594
"Pennsylvania",2006,12510809,6294504,45444
"Rhode Island",2006,1063096,572601,47904
"South Carolina",2006,4357847,2109097,37761
"South Dakota",2006,783033,435007,42708
"Tennessee",2006,6088766,3036029,42247
"Texas",2006,23359580,11327995,47876
"Utah",2006,2525507,1318450,44039
"Vermont",2006,622892,357007,41646
"Virginia",2006,7673725,3978641,52765
"Washington",2006,6370753,3323938,52727
"West Virginia",2006,1827912,806168,33935
"Wisconsin",2006,5577655,3058935,45646
"Wyoming",2006,522667,281247,64191
"Alabama",2007,4672840,2175612,37644
"Arizona",2007,6167681,3034016,44199
"Arkansas",2007,2848650,1369284,35889
"California",2007,36250311,17893080,55008
"Colorado",2007,4803868,2664677,51895
"Connecticut",2007,3527270,1856209,69762
"Delaware",2007,871749,443573,66032
"District of Columbia",2007,574404,322237,169268
"Florida",2007,18367842,9157124,43724
"Georgia",2007,9349988,4815818,45763
"Idaho",2007,1505105,754438,37423
